Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Login_001_TestListener,Chrome 121.0.0.0,,,04-02-2024 16:57:07,04-02-2024 16:57:41,33.709s,PASSED
,,,,,,,
Test Cases/Amazon_Login_001/TC_Amazon_Login_001,Chrome 121.0.0.0,,,04-02-2024 16:57:08,04-02-2024 16:57:41,32.683s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,04-02-2024 16:57:08,04-02-2024 16:57:14,5.292s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,04-02-2024 16:57:14,04-02-2024 16:57:16,2.176s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,04-02-2024 16:57:16,04-02-2024 16:57:18,1.367s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 121.0.0.0,,,04-02-2024 16:57:18,04-02-2024 16:57:20,2.761s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_Email or mobile phone number_email""), username)",Chrome 121.0.0.0,,,04-02-2024 16:57:20,04-02-2024 16:57:22,1.962s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,04-02-2024 16:57:22,04-02-2024 16:57:23,0.504s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_Forgot Password_password""), password)",Chrome 121.0.0.0,,,04-02-2024 16:57:23,04-02-2024 16:57:38,15.437s,PASSED
"click(findTestObject(""Amazon_Button_OR/Page_Amazon Sign In/span_Sign in""))",Chrome 121.0.0.0,,,04-02-2024 16:57:38,04-02-2024 16:57:39,0.557s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,04-02-2024 16:57:39,04-02-2024 16:57:41,1.897s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,04-02-2024 16:57:41,04-02-2024 16:57:41,0.025s,PASSED
